Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,21 Little Cardigan Street,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2003,0,-37.80421,144.965215,"21 Little Cardigan Street
(-37.80421, 144.965215)"
 ,144 Langford Street,NORTH MELBOURNE,3051,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,1,0,0,-37.795701,144.936892,"144 Langford Street
(-37.795701, 144.936892)"
 ,38-42 Little Leveson Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.803712,144.951843,"38-42 Little Leveson Street
(-37.803712, 144.951843)"
 ,230-232 Dryburgh Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,1,2008,0,-37.801135,144.944142,"230-232 Dryburgh Street
(-37.801135, 144.944142)"
 ,15 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793629,144.925716,"15 Bangalore Street
(-37.793629, 144.925716)"
 ,9-11 Epsom Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793743,144.926942,"9-11 Epsom Road
(-37.793743, 144.926942)"
 ,13 Epsom Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793559,144.926765,"13 Epsom Road
(-37.793559, 144.926765)"
 ,35 Epsom Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1870,0,-37.792718,144.925852,"35 Epsom Road
(-37.792718, 144.925852)"
 ,50-60 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793326,144.923368,"50-60 Bayswater Road
(-37.793326, 144.923368)"
 ,82 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793863,144.922429,"82 Bayswater Road
(-37.793863, 144.922429)"
 ,94A Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794111,144.92199,"94A Bayswater Road
(-37.794111, 144.92199)"
 ,87 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794616,144.921612,"87 Bayswater Road
(-37.794616, 144.921612)"
 ,57 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793863,144.923352,"57 Bayswater Road
(-37.793863, 144.923352)"
 ,224 Swanston Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1910,1998,-37.812608,144.965529,"224 Swanston Street
(-37.812608, 144.965529)"
 ,222 Swanston Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,2,1910,2003,-37.812647,144.965547,"222 Swanston Street
(-37.812647, 144.965547)"
 ,13-21 Little Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1922,0,-37.80904,144.971414,"13-21 Little Lonsdale Street
(-37.80904, 144.971414)"
Sturt Street Shopping Centre,153-159 Sturt Street,SOUTHBANK,3006,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,1,1960,2008,-37.827921,144.966719,"153-159 Sturt Street
(-37.827921, 144.966719)"
 ,107-113 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,5,1925,1992,-37.815733,144.963454,"107-113 Elizabeth Street
(-37.815733, 144.963454)"
Bourke Junction,700-704 Bourke Street,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.817335,144.949373,"700-704 Bourke Street
(-37.817335, 144.949373)"
 ,424-432 Footscray Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.807809,144.932008,"424-432 Footscray Road
(-37.807809, 144.932008)"
 ,45 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793186,144.922654,"45 Westbourne Road
(-37.793186, 144.922654)"
 ,1 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79203,144.924658,"1 Westbourne Road
(-37.79203, 144.924658)"
Cloverlea,7 Altona Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799269,144.927312,"7 Altona Street
(-37.799269, 144.927312)"
 ,9-11 Altona Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1870,0,-37.799203,144.92725,"9-11 Altona Street
(-37.799203, 144.92725)"
 ,1 Matthews Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794573,144.920896,"1 Matthews Mews
(-37.794573, 144.920896)"
 ,101-103 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794129,144.92108,"101-103 Bayswater Road
(-37.794129, 144.92108)"
 ,16-18 Francis Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793389,144.918835,"16-18 Francis Lane
(-37.793389, 144.918835)"
 ,41 Woodruff Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791741,144.922576,"41 Woodruff Street
(-37.791741, 144.922576)"
 ,61-67 Epsom Road,KENSINGTON,3031,Steps,All entrances have steps,1,0,0,0,-37.791337,144.924545,"61-67 Epsom Road
(-37.791337, 144.924545)"
 ,66 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798496,144.9287,"66 Tennyson Street
(-37.798496, 144.9287)"
 ,84-86 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79878,144.92821,"84-86 Tennyson Street
(-37.79878, 144.92821)"
 ,2 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796423,144.933495,"2 Albermarle Street
(-37.796423, 144.933495)"
 ,29-31 Tankard Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.796218,144.920418,"29-31 Tankard Street
(-37.796218, 144.920418)"
 ,22-24 Tankard Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.796433,144.919948,"22-24 Tankard Street
(-37.796433, 144.919948)"
 ,15-17 Sambell Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795396,144.921705,"15-17 Sambell Street
(-37.795396, 144.921705)"
 ,87-89 Newman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795127,144.921824,"87-89 Newman Street
(-37.795127, 144.921824)"
 ,94-96 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794782,144.91989,"94-96 The Crescent
(-37.794782, 144.91989)"
 ,169 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794946,144.92044,"169 The Crescent
(-37.794946, 144.92044)"
 ,1 Bayswater Road,KENSINGTON,3031,Steps,All entrances have steps,1,1,1980,0,-37.792844,144.925411,"1 Bayswater Road
(-37.792844, 144.925411)"
 ,61 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793547,144.922025,"61 Westbourne Road
(-37.793547, 144.922025)"
 ,59 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793507,144.922096,"59 Westbourne Road
(-37.793507, 144.922096)"
 ,369-391 Macaulay Road,KENSINGTON,3031,Steps,All entrances have steps,1,1,1960,0,-37.795153,144.934127,"369-391 Macaulay Road
(-37.795153, 144.934127)"
 ,330-374 Dynon Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.801495,144.918893,"330-374 Dynon Road
(-37.801495, 144.918893)"
 ,8-22 Sims Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1970,0,-37.800223,144.912927,"8-22 Sims Street
(-37.800223, 144.912927)"
 ,82 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792127,144.920315,"82 Stockmans Way
(-37.792127, 144.920315)"
 ,97 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792451,144.920158,"97 Stockmans Way
(-37.792451, 144.920158)"
 ,95 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792458,144.920209,"95 Stockmans Way
(-37.792458, 144.920209)"
 ,45 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793654,144.91902,"45 The Crescent
(-37.793654, 144.91902)"
 ,65-67 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79397,144.918472,"65-67 The Crescent
(-37.79397, 144.918472)"
 ,63 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794054,144.923221,"63 Bayswater Road
(-37.794054, 144.923221)"
 ,76 Newton Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795736,144.923572,"76 Newton Street
(-37.795736, 144.923572)"
 ,23A Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2002,0,-37.795244,144.932448,"23A Hardiman Street
(-37.795244, 144.932448)"
 ,11 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796138,144.932977,"11 Albermarle Street
(-37.796138, 144.932977)"
 ,4 Bent Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796455,144.934976,"4 Bent Street
(-37.796455, 144.934976)"
 ,6 Bent Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796361,144.934979,"6 Bent Street
(-37.796361, 144.934979)"
