ID,Name,Latitude,Longitude,NBBikes,NBEmptydoc,MapLabel,Dateserver,Coordinates
2,Docklands Drive - Docklands,-37.814022,144.939521,12,10,Docklands Drive - Docklands,04/29/2014 07:00:00 AM +0000,"(-37.8140220000483, 144.939521000022)"
4,Federation Square,-37.817523,144.967814,16,11,Federation Square,04/29/2014 07:00:00 AM +0000,"(-37.8175230000519, 144.967814000059)"
5,Plum Garland,-37.84782,144.948196,3,15,Plum Garland,04/29/2014 07:00:00 AM +0000,"(-37.8478199999681, 144.948195999981)"
6,Swanston St / Little Lonsdale St,-37.810702,144.964417,9,2,Swanston St / Little Lonsdale St,04/29/2014 07:00:00 AM +0000,"(-37.8107020000435, 144.964416999922)"
7,205 Bourke St  near Russell St,-37.813088,144.967437,10,1,205 Bourke St  near Russell St,04/29/2014 07:00:00 AM +0000,"(-37.8130880000171, 144.967436999968)"
8,Melbourne Uni - Tin Alley,-37.79625,144.960858,6,16,Melbourne Uni - Tin Alley,04/29/2014 07:00:00 AM +0000,"(-37.796250000032, 144.96085800006)"
9,RMIT - Swanston St / Franklin St,-37.807699,144.963095,8,3,RMIT - Swanston St / Franklin St,04/29/2014 07:00:00 AM +0000,"(-37.8076989999967, 144.96309500006)"
10,Swanston St (East) / Flinders St (St Pauls),-37.817189,144.967409,9,2,Swanston St (East) / Flinders St (St Pauls),04/29/2014 07:00:00 AM +0000,"(-37.817188999953, 144.967408999943)"
11,MSAC (Melbourne Sports & Aquatic Centre),-37.842395,144.961868,24,3,MSAC (Melbourne Sports & Aquatic Centre),04/29/2014 07:00:00 AM +0000,"(-37.8423950000195, 144.96186800001)"
12,Elizabeth St / Bourke St (GPO),-37.813848,144.963106,4,3,Elizabeth St / Bourke St (GPO),04/29/2014 07:00:00 AM +0000,"(-37.8138479999995, 144.963106000018)"
14,Victoria Parade / Morrison Pl (Eye and Ear Hospital),-37.808595,144.976745,8,11,Victoria Parade / Morrison Pl (Eye and Ear Hospital),04/29/2014 07:00:00 AM +0000,"(-37.8085949999803, 144.976744999968)"
